category,name,name_1,formula,message,oid,expiry_time,ename,obj_id,name_2,enum,descr_1
Performance,Informant: Exch WMI Queues,Exchange Queue has Resumed,o_3127 == 2 and active(a_665),Exchange Queue has Resumed,.1.3.6.1.4.1.9600.1.23.4.1.13,90,Exchange Queue has Stopped,3127,Queue Stopped?,1:True#2:False#,The GlobalStop property specifies whether the queue is currently stopped.
Performance,Informant: Exch WMI Queues,Exchange Queue has Stopped,o_3127 ==1,Exchange Queue has Stopped,.1.3.6.1.4.1.9600.1.23.4.1.13,90,Exchange Queue has Stopped,3127,Queue Stopped?,1:True#2:False#,The GlobalStop property specifies whether the queue is currently stopped.
Environmental,Dell PowerVault: Tape Library Configuration,Dell PowerVault has Shutdown Abnormally,result (o_2434) == 4,Dell PowerVault has Shutdown Abnormally,.1.3.6.1.4.1.674.10893.2.101.2.10,90,Dell: PowerVault Global Status = Critical,2434,Shutdown State,1:other#2:unknown#3:normal#4:abnormal#,Shutdown state of the device.
Environmental,HP ISM: Disk Array,HP-ISM: Logical Drive OK,"result (o_2822, enums={1: 'other', 2: 'OK', 3: 'Degraded', 4: 'Failed'}, label='o_2823') == 2 and (active(a_584) or active(a_585))",HP-ISM: Logical Drive OK,.1.3.6.1.4.1.232.3.2.3.1.1.11,90,HP-ISM: Disk Array Status Degraded,2822,Logical Drive Condition,1:other#2:ok#3:degraded#4:failed#,The Logical Drive condition. This value represents the overall condition of this logical drive and any associated physical drives.
Environmental,HP ISM: Disk Array,HP-ISM: Logical Drive OK,"result (o_2822, enums={1: 'other', 2: 'OK', 3: 'Degraded', 4: 'Failed'}, label='o_2823') == 2 and (active(a_584) or active(a_585))",HP-ISM: Logical Drive OK,.1.3.6.1.4.1.232.3.2.3.1.1.14,90,HP-ISM: Disk Array Status Degraded,2823,Logical Drive Name,,Logical Drive OS Name. The OS name for this array logical drive. This field will be a null (size 0) string if the agent does not support OS name.
Environmental,HP ISM: Disk Array,HP-ISM: Logical Drive Degraded,"result (o_2822, enums={1: 'other', 2: 'OK', 3: 'Degraded', 4: 'Failed'}, label='o_2823') == 3",HP-ISM: Logical Drive Degraded,.1.3.6.1.4.1.232.3.2.3.1.1.11,90,HP-ISM: Disk Array Status Degraded,2822,Logical Drive Condition,1:other#2:ok#3:degraded#4:failed#,The Logical Drive condition. This value represents the overall condition of this logical drive and any associated physical drives.
Environmental,HP ISM: Disk Array,HP-ISM: Logical Drive Degraded,"result (o_2822, enums={1: 'other', 2: 'OK', 3: 'Degraded', 4: 'Failed'}, label='o_2823') == 3",HP-ISM: Logical Drive Degraded,.1.3.6.1.4.1.232.3.2.3.1.1.14,90,HP-ISM: Disk Array Status Degraded,2823,Logical Drive Name,,Logical Drive OS Name. The OS name for this array logical drive. This field will be a null (size 0) string if the agent does not support OS name.
Environmental,HP ISM: Disk Array,HP-ISM: Logical Drive Failed,"result (o_2822, enums={1: 'other', 2: 'OK', 3: 'Degraded', 4: 'Failed'}, label='o_2823') == 4",HP-ISM: Logical Drive Failed,.1.3.6.1.4.1.232.3.2.3.1.1.11,90,HP-ISM: Disk Array Status Degraded,2822,Logical Drive Condition,1:other#2:ok#3:degraded#4:failed#,The Logical Drive condition. This value represents the overall condition of this logical drive and any associated physical drives.
Environmental,HP ISM: Disk Array,HP-ISM: Logical Drive Failed,"result (o_2822, enums={1: 'other', 2: 'OK', 3: 'Degraded', 4: 'Failed'}, label='o_2823') == 4",HP-ISM: Logical Drive Failed,.1.3.6.1.4.1.232.3.2.3.1.1.14,90,HP-ISM: Disk Array Status Degraded,2823,Logical Drive Name,,Logical Drive OS Name. The OS name for this array logical drive. This field will be a null (size 0) string if the agent does not support OS name.
Environmental,HP ISM: Disk Array,HP-ISM: Drive Controller OK,"result (o_2825, enums={1: 'other', 2: 'OK', 3: 'Degraded', 4: 'Failed'}) == 2 and (active(a_581) or active(a_582))",HP-ISM: Drive Controller OK,.1.3.6.1.4.1.232.3.2.2.1.1.12,90,HP-ISM: Disk Array Status Degraded,2825,Controller Condition,1:other#2:ok#3:degraded#4:failed#,The condition of the device. This value represents the condition of the controller and any associated array accelerators.
Environmental,HP ISM: Disk Array,HP-ISM: Drive Controller Degraded,"result (o_2825, enums={1: 'other', 2: 'OK', 3: 'Degraded', 4: 'Failed'}) == 3",HP-ISM: Drive Controller Degraded,.1.3.6.1.4.1.232.3.2.2.1.1.12,90,HP-ISM: Disk Array Status Degraded,2825,Controller Condition,1:other#2:ok#3:degraded#4:failed#,The condition of the device. This value represents the condition of the controller and any associated array accelerators.
Environmental,HP ISM: Disk Array,HP-ISM: Drive Controller Failed,"result (o_2825, enums={1: 'other', 2: 'OK', 3: 'Degraded', 4: 'Failed'}) == 4",HP-ISM: Drive Controller Failed,.1.3.6.1.4.1.232.3.2.2.1.1.12,90,HP-ISM: Disk Array Status Degraded,2825,Controller Condition,1:other#2:ok#3:degraded#4:failed#,The condition of the device. This value represents the condition of the controller and any associated array accelerators.
Environmental,HP ISM: Disk Array,HP-ISM: Disk Controller OK,"result (o_2826, enums={1: 'other', 2: 'OK', 3: 'GeneralFailure', 4: 'CableProblem', 5: 'PoweredOff'}) == 2 and (active(a_578) or active(a_579))",HP-ISM: Disk Controller OK,.1.3.6.1.4.1.232.3.2.2.1.1.10,90,HP-ISM: Disk Array Status Degraded,2826,Disk Controller Status,1:other#2:ok#3:generalFailure#4:cableProblem#5:poweredOff#,Compaq Array Controller Board Status. The following values are valid: other (1) Indicates that the instrument agent does not recognize the status of the controller. You may need to upgrade the instrument agent. ok (2) The array controller is operating properly. generalFailure (3) The array controller is failed. cableProblem (4) The array controller has a cable problem. Please check all cable connections to this controller. poweredOff (5) The array controller is powered off. Please replace the controller and restore power to the slot.
Environmental,HP ISM: Disk Array,HP-ISM: Disk Controller  General Failure,"result (o_2826, enums={1: 'other', 2: 'OK', 3: 'GeneralFailure', 4: 'CableProblem', 5: 'PoweredOff'}) == 3",HP-ISM: Disk Controller General Failure,.1.3.6.1.4.1.232.3.2.2.1.1.10,90,HP-ISM: Disk Array Status Degraded,2826,Disk Controller Status,1:other#2:ok#3:generalFailure#4:cableProblem#5:poweredOff#,Compaq Array Controller Board Status. The following values are valid: other (1) Indicates that the instrument agent does not recognize the status of the controller. You may need to upgrade the instrument agent. ok (2) The array controller is operating properly. generalFailure (3) The array controller is failed. cableProblem (4) The array controller has a cable problem. Please check all cable connections to this controller. poweredOff (5) The array controller is powered off. Please replace the controller and restore power to the slot.
Environmental,HP ISM: Disk Array,HP-ISM: Disk Controller Cable Problem,"result (o_2826, enums={1: 'other', 2: 'OK', 3: 'GeneralFailure', 4: 'CableProblem', 5: 'PoweredOff'}) == 4",HP-ISM: Disk Controller Cable Problem,.1.3.6.1.4.1.232.3.2.2.1.1.10,90,HP-ISM: Disk Array Status Degraded,2826,Disk Controller Status,1:other#2:ok#3:generalFailure#4:cableProblem#5:poweredOff#,Compaq Array Controller Board Status. The following values are valid: other (1) Indicates that the instrument agent does not recognize the status of the controller. You may need to upgrade the instrument agent. ok (2) The array controller is operating properly. generalFailure (3) The array controller is failed. cableProblem (4) The array controller has a cable problem. Please check all cable connections to this controller. poweredOff (5) The array controller is powered off. Please replace the controller and restore power to the slot.
Environmental,HP ISM: Disk Array,HP-ISM: Disk Array Status OK,"result (o_2827, enums={1: 'other', 2: 'OK', 3: 'Degraded', 4: 'Failed'}) == 2 and (active(a_572) or active(a_573))",HP-ISM:  Disk Array Status OK,.1.3.6.1.4.1.232.3.2.2.1.1.6,90,HP-ISM: Disk Array Status Degraded,2827,Overall Array Status,1:other#2:ok#3:degraded#4:failed#,"The condition of the device. This value represents the overall condition of this controller, and any associated logical drives, physical drives, and array accelerators."
Environmental,HP ISM: Disk Array,HP-ISM: Disk Array Status Degraded,"result (o_2827, enums={1: 'other', 2: 'OK', 3: 'Degraded', 4: 'Failed'}) == 3",HP-ISM:  Disk Array Status Degraded,.1.3.6.1.4.1.232.3.2.2.1.1.6,90,HP-ISM: Disk Array Status Degraded,2827,Overall Array Status,1:other#2:ok#3:degraded#4:failed#,"The condition of the device. This value represents the overall condition of this controller, and any associated logical drives, physical drives, and array accelerators."
Environmental,HP ISM: Disk Array,HP-ISM: Disk Array Status Failed,"result (o_2827, enums={1: 'other', 2: 'OK', 3: 'Degraded', 4: 'Failed'}) == 4",HP-ISM: Disk Array Status Failed,.1.3.6.1.4.1.232.3.2.2.1.1.6,90,HP-ISM: Disk Array Status Degraded,2827,Overall Array Status,1:other#2:ok#3:degraded#4:failed#,"The condition of the device. This value represents the overall condition of this controller, and any associated logical drives, physical drives, and array accelerators."
Availability,HP ISM: Asset,HP-ISM:  Overall Condition Degraded,"result (o_2861, enums={1: 'other', 2: 'OK', 3: 'Degraded', 4: 'Failed'})  == 3",HP-ISM:  System Overall Condition Degraded,.1.3.6.1.4.1.232.2.1.3,90,HP-ISM: System Overall Condition Failed,2861,Overall Condition,1:other#2:ok#3:degraded#4:failed,The overall condition. This object represents the overall status of the server information represented by this MIB.
Availability,HP ISM: Asset,HP-ISM:  Overall Condition OK,"result (o_2861, enums={1: 'other', 2: 'OK', 3: 'Degraded', 4: 'Failed'}) == 2 and (active(a_597) or active(a_598))",HP-ISM:  System Overall Condition OK,.1.3.6.1.4.1.232.2.1.3,90,HP-ISM: System Overall Condition Failed,2861,Overall Condition,1:other#2:ok#3:degraded#4:failed,The overall condition. This object represents the overall status of the server information represented by this MIB.
Availability,HP ISM: Asset,HP-ISM:  Overall Condition Failed,"result (o_2861, enums={1: 'other', 2: 'OK', 3: 'Degraded', 4: 'Failed'}) == 4",HP-ISM:  System Overall Condition Failed,.1.3.6.1.4.1.232.2.1.3,90,HP-ISM: System Overall Condition Failed,2861,Overall Condition,1:other#2:ok#3:degraded#4:failed,The overall condition. This object represents the overall status of the server information represented by this MIB.
Environmental,IBM Director: Win32 Status,IBM Director: BIOS Status not OK.,result(' o_2963') != 'OK',IBM Director: BIOS Status not OK returned %V.,.1.3.6.1.4.1.2.6.159.1.2.10.460.1.4,90,IBM Director: Environment Status not OK.,2963,BIOS Status,,"The Status property is a string indicating the current status of the object. Various operational and non-operational statuses can be defined. Operational statuses are OK, Degraded and Pred Fail. Pred Fail indicates that an element may be functioning properly but predicting a failure in the near future. An example is a SMART-enabled hard drive. Non-operational statuses can also be specified. These are Error, Starting, Stopping and Service. The latter, Service, could apply during mirror-resilvering of a disk, reload of a user permissions list, or other administrative work. Not all such work is on-line, yet the managed element is neither OK nor in one of the other states."
Environmental,IBM Director: Win32 Status,IBM Director: BIOS Status OK.,result(' o_2963') == 'OK' and active(a_614),IBM Director: BIOS Status has returned to normal.,.1.3.6.1.4.1.2.6.159.1.2.10.460.1.4,90,IBM Director: Environment Status not OK.,2963,BIOS Status,,"The Status property is a string indicating the current status of the object. Various operational and non-operational statuses can be defined. Operational statuses are OK, Degraded and Pred Fail. Pred Fail indicates that an element may be functioning properly but predicting a failure in the near future. An example is a SMART-enabled hard drive. Non-operational statuses can also be specified. These are Error, Starting, Stopping and Service. The latter, Service, could apply during mirror-resilvering of a disk, reload of a user permissions list, or other administrative work. Not all such work is on-line, yet the managed element is neither OK nor in one of the other states."
Availability,EMC: VNX RAID Group Configuration,EMC: VNX RAID group status: Critical,"result('o_14541', label='o_14543') == 'Non-Recoverable Error'",EMC: VNX RAID group (%L) status: %V.,name,90,EMC: VNX raid group status is critical,14543,RAID Group Name,,The human readable name of the RAID Group.
Availability,EMC: VNX RAID Group Configuration,EMC: VNX RAID group status: Critical,"result('o_14541', label='o_14543') == 'Non-Recoverable Error'",EMC: VNX RAID group (%L) status: %V.,smis.query://Clar_DeviceStoragePool/StatusDescriptions?filter=InstanceID#0,90,EMC: VNX raid group status is critical,14541,Status,,The operational status.
Availability,EMC: VNX RAID Group Configuration,EMC: VNX RAID group status: Healthy,"result('o_14541', label='o_14543') == 'OK' and (active(a_2459) or active(a_2460) or active(a_2461) or active(a_2462))",EMC: VNX RAID group (%L) status has returned to normal.,name,90,EMC: VNX raid group status is critical,14543,RAID Group Name,,The human readable name of the RAID Group.
Availability,EMC: VNX RAID Group Configuration,EMC: VNX RAID group status: Healthy,"result('o_14541', label='o_14543') == 'OK' and (active(a_2459) or active(a_2460) or active(a_2461) or active(a_2462))",EMC: VNX RAID group (%L) status has returned to normal.,smis.query://Clar_DeviceStoragePool/StatusDescriptions?filter=InstanceID#0,90,EMC: VNX raid group status is critical,14541,Status,,The operational status.
Availability,EMC: VNX RAID Group Configuration,EMC: VNX RAID group status: Major,"result('o_14541', label='o_14543') in ('Degraded', 'Error', 'Supporting Entity in Error')",EMC: VNX RAID group (%L) status: %V.,name,90,EMC: VNX raid group status is critical,14543,RAID Group Name,,The human readable name of the RAID Group.
Availability,EMC: VNX RAID Group Configuration,EMC: VNX RAID group status: Major,"result('o_14541', label='o_14543') in ('Degraded', 'Error', 'Supporting Entity in Error')",EMC: VNX RAID group (%L) status: %V.,smis.query://Clar_DeviceStoragePool/StatusDescriptions?filter=InstanceID#0,90,EMC: VNX raid group status is critical,14541,Status,,The operational status.
Availability,EMC: VNX RAID Group Configuration,EMC: VNX RAID group status: Minor,"result('o_14541', label='o_14543') in ('Stressed', 'Predictive Failure')",EMC: VNX RAID group (%L) status: %V.,name,90,EMC: VNX raid group status is critical,14543,RAID Group Name,,The human readable name of the RAID Group.
Availability,EMC: VNX RAID Group Configuration,EMC: VNX RAID group status: Minor,"result('o_14541', label='o_14543') in ('Stressed', 'Predictive Failure')",EMC: VNX RAID group (%L) status: %V.,smis.query://Clar_DeviceStoragePool/StatusDescriptions?filter=InstanceID#0,90,EMC: VNX raid group status is critical,14541,Status,,The operational status.
Availability,EMC: VNX RAID Group Configuration,EMC: VNX RAID group status: Notice,"result('o_14541', label='o_14543') in ('Unknown', 'No Contact', 'Lost Communication')",EMC: VNX RAID group (%L) status: %V.,name,90,EMC: VNX raid group status is critical,14543,RAID Group Name,,The human readable name of the RAID Group.
Availability,EMC: VNX RAID Group Configuration,EMC: VNX RAID group status: Notice,"result('o_14541', label='o_14543') in ('Unknown', 'No Contact', 'Lost Communication')",EMC: VNX RAID group (%L) status: %V.,smis.query://Clar_DeviceStoragePool/StatusDescriptions?filter=InstanceID#0,90,EMC: VNX raid group status is critical,14541,Status,,The operational status.
Availability,EMC: VNX Storage Pool Configuration,EMC: VNX storage pool status: Critical,"result('o_14670', label='o_14669') == 'Non-Recoverable Error'",EMC: VNX storage pool (%L) status: %V.,smis.query://Clar_UnifiedStoragePool/PoolID?filter=InstanceID,90,EMC: VNX storage pool status is critical,14669,Pool Name,,An identifier for this storage pool unique to the array.
Availability,EMC: VNX Storage Pool Configuration,EMC: VNX storage pool status: Critical,"result('o_14670', label='o_14669') == 'Non-Recoverable Error'",EMC: VNX storage pool (%L) status: %V.,smis.query://Clar_UnifiedStoragePool/StatusDescriptions?filter=InstanceID#0,90,EMC: VNX storage pool status is critical,14670,Status,,The operational status.
Availability,EMC: VNX Storage Pool Configuration,EMC: VNX storage pool status: Healthy,"result('o_14670', label='o_14669') == 'OK' and (active(a_2471) or active(a_2472) or active(a_2473) or active(a_2474))",EMC: VNX storage pool (%L) status has returned to normal.,smis.query://Clar_UnifiedStoragePool/PoolID?filter=InstanceID,90,EMC: VNX storage pool status is critical,14669,Pool Name,,An identifier for this storage pool unique to the array.
Availability,EMC: VNX Storage Pool Configuration,EMC: VNX storage pool status: Healthy,"result('o_14670', label='o_14669') == 'OK' and (active(a_2471) or active(a_2472) or active(a_2473) or active(a_2474))",EMC: VNX storage pool (%L) status has returned to normal.,smis.query://Clar_UnifiedStoragePool/StatusDescriptions?filter=InstanceID#0,90,EMC: VNX storage pool status is critical,14670,Status,,The operational status.
Availability,EMC: VNX Storage Pool Configuration,EMC: VNX storage pool status: Major,"result('o_14670', label='o_14669') in ('Degraded', 'Error', 'Supporting Entity in Error')",EMC: VNX storage pool (%L) status: %V.,smis.query://Clar_UnifiedStoragePool/PoolID?filter=InstanceID,90,EMC: VNX storage pool status is critical,14669,Pool Name,,An identifier for this storage pool unique to the array.
Availability,EMC: VNX Storage Pool Configuration,EMC: VNX storage pool status: Major,"result('o_14670', label='o_14669') in ('Degraded', 'Error', 'Supporting Entity in Error')",EMC: VNX storage pool (%L) status: %V.,smis.query://Clar_UnifiedStoragePool/StatusDescriptions?filter=InstanceID#0,90,EMC: VNX storage pool status is critical,14670,Status,,The operational status.
Availability,EMC: VNX Storage Pool Configuration,EMC: VNX storage pool status: Minor,"result('o_14670', label='o_14669') in ('Stressed', 'Predictive Failure')",EMC: VNX storage pool (%L) status: %V.,smis.query://Clar_UnifiedStoragePool/PoolID?filter=InstanceID,90,EMC: VNX storage pool status is critical,14669,Pool Name,,An identifier for this storage pool unique to the array.
Availability,EMC: VNX Storage Pool Configuration,EMC: VNX storage pool status: Minor,"result('o_14670', label='o_14669') in ('Stressed', 'Predictive Failure')",EMC: VNX storage pool (%L) status: %V.,smis.query://Clar_UnifiedStoragePool/StatusDescriptions?filter=InstanceID#0,90,EMC: VNX storage pool status is critical,14670,Status,,The operational status.
Availability,EMC: VNX Storage Pool Configuration,EMC: VNX storage pool status: Notice,"result('o_14670', label='o_14669') in ('Unknown', 'No Contact', 'Lost Communication')",EMC: VNX storage pool (%L) status: %V.,smis.query://Clar_UnifiedStoragePool/PoolID?filter=InstanceID,90,EMC: VNX storage pool status is critical,14669,Pool Name,,An identifier for this storage pool unique to the array.
Availability,EMC: VNX Storage Pool Configuration,EMC: VNX storage pool status: Notice,"result('o_14670', label='o_14669') in ('Unknown', 'No Contact', 'Lost Communication')",EMC: VNX storage pool (%L) status: %V.,smis.query://Clar_UnifiedStoragePool/StatusDescriptions?filter=InstanceID#0,90,EMC: VNX storage pool status is critical,14670,Status,,The operational status.
Availability,Secondary Traffic Monitor - SSH - No VPN - TSI,WAN2 Gwdetect N/A,result('o_20910') == 'N/A',The gwdetect function returned a value of N/A,Traffic_Status,180,GWdetect WAN2 Down - Town Sports,20910,Traffic Status,,WAN 2 State
Availability,Secondary Traffic Monitor - SSH - No VPN - PARADIES,WAN2 Gwdetect N/A,result('o_20931') == 'N/A',The gwdetect function returned a value of N/A,Traffic_Status_W2,0,WAN1 Down,20931,Traffic Status_W2,,WAN 1 State
Availability,Secondary Traffic Monitor - SSH - No VPN - PARADIES,WAN2 Gwdetect N/A,result('o_20931') == 'N/A',The gwdetect function returned a value of N/A,Traffic_Status_W2,180,GWdetect WAN2 Down - Paradies,20931,Traffic Status_W2,,WAN 1 State
Environmental,IBM Director: Win32 Status,IBM Director: Codec Status not OK.,result('o_2947') != 'OK',"IBM Director: Status not OK, %V.",.1.3.6.1.4.1.2.6.159.1.2.10.190.1.4,90,IBM Director: Environment Status not OK.,2947,Codec Status,,"The Status property is a string indicating the current status of the object. Various operational and non-operational statuses can be defined. Operational statuses are OK, Degraded and Pred Fail. Pred Fail indicates that an element may be functioning properly but predicting a failure in the near future. An example is a SMART-enabled hard drive. Non-operational statuses can also be specified. These are Error, Starting, Stopping and Service. The latter, Service, could apply during mirror-resilvering of a disk, reload of a user permissions list, or other administrative work. Not all such work is on-line, yet the managed element is neither OK nor in one of the other states."
Environmental,IBM Director: Win32 Status,IBM Director: Codec Status OK.,result('o_2947') == 'OK' and active(a_618),"IBM Director: Status not OK, %V.",.1.3.6.1.4.1.2.6.159.1.2.10.190.1.4,90,IBM Director: Environment Status not OK.,2947,Codec Status,,"The Status property is a string indicating the current status of the object. Various operational and non-operational statuses can be defined. Operational statuses are OK, Degraded and Pred Fail. Pred Fail indicates that an element may be functioning properly but predicting a failure in the near future. An example is a SMART-enabled hard drive. Non-operational statuses can also be specified. These are Error, Starting, Stopping and Service. The latter, Service, could apply during mirror-resilvering of a disk, reload of a user permissions list, or other administrative work. Not all such work is on-line, yet the managed element is neither OK nor in one of the other states."
Environmental,IBM Director: Win32 Status,IBM Director: Page File Status not OK.,result('o_2948') != 'OK',IBM Director: Page File Status not OK.,.1.3.6.1.4.1.2.6.159.1.2.10.210.1.6,90,IBM Director: Environment Status not OK.,2948,Page File Status,,"The Status property is a string indicating the current status of the object. Various operational and non-operational statuses can be defined. Operational statuses are OK, Degraded and Pred Fail. Pred Fail indicates that an element may be functioning properly but predicting a failure in the near future. An example is a SMART-enabled hard drive. Non-operational statuses can also be specified. These are Error, Starting, Stopping and Service. The latter, Service, could apply during mirror-resilvering of a disk, reload of a user permissions list, or other administrative work. Not all such work is on-line, yet the managed element is neither OK nor in one of the other states."
Environmental,IBM Director: Win32 Status,IBM Director: Page File Status OK.,result('o_2948') == 'OK' and active(a_638),IBM Director: Page File Status OK.,.1.3.6.1.4.1.2.6.159.1.2.10.210.1.6,90,IBM Director: Environment Status not OK.,2948,Page File Status,,"The Status property is a string indicating the current status of the object. Various operational and non-operational statuses can be defined. Operational statuses are OK, Degraded and Pred Fail. Pred Fail indicates that an element may be functioning properly but predicting a failure in the near future. An example is a SMART-enabled hard drive. Non-operational statuses can also be specified. These are Error, Starting, Stopping and Service. The latter, Service, could apply during mirror-resilvering of a disk, reload of a user permissions list, or other administrative work. Not all such work is on-line, yet the managed element is neither OK nor in one of the other states."
Environmental,IBM Director: Win32 Status,IBM Director: System Account Status not OK.,result('o_2949') != 'OK',IBM Director: System Account Status not OK.,.1.3.6.1.4.1.2.6.159.1.2.10.250.1.4,90,IBM Director: Environment Status not OK.,2949,System Account Status,,"The Status property is a string indicating the current status of the object. Various operational and non-operational statuses can be defined. Operational statuses are OK, Degraded and Pred Fail. Pred Fail indicates that an element may be functioning properly but predicting a failure in the near future. An example is a SMART-enabled hard drive. Non-operational statuses can also be specified. These are Error, Starting, Stopping and Service. The latter, Service, could apply during mirror-resilvering of a disk, reload of a user permissions list, or other administrative work. Not all such work is on-line, yet the managed element is neither OK nor in one of the other states."
Environmental,IBM Director: Win32 Status,IBM Director: System Account Status OK.,result('o_2949') == 'OK' and active(a_648),IBM Director: System Account Status OK.,.1.3.6.1.4.1.2.6.159.1.2.10.250.1.4,90,IBM Director: Environment Status not OK.,2949,System Account Status,,"The Status property is a string indicating the current status of the object. Various operational and non-operational statuses can be defined. Operational statuses are OK, Degraded and Pred Fail. Pred Fail indicates that an element may be functioning properly but predicting a failure in the near future. An example is a SMART-enabled hard drive. Non-operational statuses can also be specified. These are Error, Starting, Stopping and Service. The latter, Service, could apply during mirror-resilvering of a disk, reload of a user permissions list, or other administrative work. Not all such work is on-line, yet the managed element is neither OK nor in one of the other states."
Environmental,IBM Director: Win32 Status,IBM Director: Device Memory Address Status not OK.,result('o_2950') != 'OK',"IBM Director: Device Memory Address Status not OK, %V.",.1.3.6.1.4.1.2.6.159.1.2.10.290.1.3,90,IBM Director: Environment Status not OK.,2950,Device Memory Address Status,,"The Status property is a string indicating the current status of the object. Various operational and non-operational statuses can be defined. Operational statuses are OK, Degraded and Pred Fail. Pred Fail indicates that an element may be functioning properly but predicting a failure in the near future. An example is a SMART-enabled hard drive. Non-operational statuses can also be specified. These are Error, Starting, Stopping and Service. The latter, Service, could apply during mirror-resilvering of a disk, reload of a user permissions list, or other administrative work. Not all such work is on-line, yet the managed element is neither OK nor in one of the other states."
Environmental,IBM Director: Win32 Status,IBM Director: Device Memory Address Status OK.,result('o_2950') == 'OK' and active(a_620),IBM Director: Device Memory Address Status has returned to normal.,.1.3.6.1.4.1.2.6.159.1.2.10.290.1.3,90,IBM Director: Environment Status not OK.,2950,Device Memory Address Status,,"The Status property is a string indicating the current status of the object. Various operational and non-operational statuses can be defined. Operational statuses are OK, Degraded and Pred Fail. Pred Fail indicates that an element may be functioning properly but predicting a failure in the near future. An example is a SMART-enabled hard drive. Non-operational statuses can also be specified. These are Error, Starting, Stopping and Service. The latter, Service, could apply during mirror-resilvering of a disk, reload of a user permissions list, or other administrative work. Not all such work is on-line, yet the managed element is neither OK nor in one of the other states."
Environmental,IBM Director: Win32 Status,IBM Director: Disk Drives Status not OK.,result('o_2951') != 'OK',"IBM Director: Disk Drives Status not OK, %V.",.1.3.6.1.4.1.2.6.159.1.2.10.30.1.21,90,IBM Director: Environment Status not OK.,2951,Disk Drives Status,,"The Status property is a string indicating the current status of the object. Various operational and non-operational statuses can be defined. Operational statuses are OK, Degraded and Pred Fail. Pred Fail indicates that an element may be functioning properly but predicting a failure in the near future. An example is a SMART-enabled hard drive. Non-operational statuses can also be specified. These are Error, Starting, Stopping and Service. The latter, Service, could apply during mirror-resilvering of a disk, reload of a user permissions list, or other administrative work. Not all such work is on-line, yet the managed element is neither OK nor in one of the other states."
Environmental,IBM Director: Win32 Status,IBM Director: Disk Drives Status OK.,result('o_2951') == 'OK' and active(a_622),IBM Director: Disk Drives Status OK.,.1.3.6.1.4.1.2.6.159.1.2.10.30.1.21,90,IBM Director: Environment Status not OK.,2951,Disk Drives Status,,"The Status property is a string indicating the current status of the object. Various operational and non-operational statuses can be defined. Operational statuses are OK, Degraded and Pred Fail. Pred Fail indicates that an element may be functioning properly but predicting a failure in the near future. An example is a SMART-enabled hard drive. Non-operational statuses can also be specified. These are Error, Starting, Stopping and Service. The latter, Service, could apply during mirror-resilvering of a disk, reload of a user permissions list, or other administrative work. Not all such work is on-line, yet the managed element is neither OK nor in one of the other states."
Environmental,IBM Director: Win32 Status,IBM Director: Port Resource Status not OK.,result('o_2952') != 'OK',IBM Director: Port Resource Status not OK.,.1.3.6.1.4.1.2.6.159.1.2.10.300.1.3,90,IBM Director: Environment Status not OK.,2952,Port Resource Status,,"The Status property is a string indicating the current status of the object. Various operational and non-operational statuses can be defined. Operational statuses are OK, Degraded and Pred Fail. Pred Fail indicates that an element may be functioning properly but predicting a failure in the near future. An example is a SMART-enabled hard drive. Non-operational statuses can also be specified. These are Error, Starting, Stopping and Service. The latter, Service, could apply during mirror-resilvering of a disk, reload of a user permissions list, or other administrative work. Not all such work is on-line, yet the managed element is neither OK nor in one of the other states."
Environmental,IBM Director: Win32 Status,IBM Director: Port Resource Status OK.,result('o_2952') == 'OK' and active(a_642),IBM Director: Port Resource Status OK.,.1.3.6.1.4.1.2.6.159.1.2.10.300.1.3,90,IBM Director: Environment Status not OK.,2952,Port Resource Status,,"The Status property is a string indicating the current status of the object. Various operational and non-operational statuses can be defined. Operational statuses are OK, Degraded and Pred Fail. Pred Fail indicates that an element may be functioning properly but predicting a failure in the near future. An example is a SMART-enabled hard drive. Non-operational statuses can also be specified. These are Error, Starting, Stopping and Service. The latter, Service, could apply during mirror-resilvering of a disk, reload of a user permissions list, or other administrative work. Not all such work is on-line, yet the managed element is neither OK nor in one of the other states."
Environmental,IBM Director: Win32 Status,IBM Director: DMA Channel Status not OK.,result('o_2953') != 'OK',IBM Director: DMA Channel Status not OK.,.1.3.6.1.4.1.2.6.159.1.2.10.310.1.3,90,IBM Director: Environment Status not OK.,2953,DMA Channel Status,,"The Status property is a string indicating the current status of the object. Various operational and non-operational statuses can be defined. Operational statuses are OK, Degraded and Pred Fail. Pred Fail indicates that an element may be functioning properly but predicting a failure in the near future. An example is a SMART-enabled hard drive. Non-operational statuses can also be specified. These are Error, Starting, Stopping and Service. The latter, Service, could apply during mirror-resilvering of a disk, reload of a user permissions list, or other administrative work. Not all such work is on-line, yet the managed element is neither OK nor in one of the other states."
